,year,title,genre,avg_vote,movie_rating
0,2005,The Naked Monster,"Comedy, Horror, Sci-Fi",5.6,okay
1,2005,What Is It?,Drama,5.6,okay
2,2007,The Junior Defenders,Comedy,4.3,okay
3,2008,Quality Time,"Comedy, Drama, Sci-Fi",3.8,okay
4,2005,Fantastic Four,"Action, Adventure, Fantasy",5.7,okay
5,2005,Corpse Bride,"Animation, Drama, Family",7.3,good
6,2005,Star Wars: Episode III - Revenge of the Sith,"Action, Adventure, Fantasy",7.5,good
7,2005,Shooting Vegetarians,"Comedy, Drama",4.8,okay
8,2010,Pál Adrienn,Drama,6.7,good
9,2009,Rózsaszín sajt,"Comedy, Drama",6.1,good
10,2005,The Prodigy,"Crime, Drama, Thriller",5.5,okay
11,2010,A zöld sárkány gyermekei,Drama,6.8,good
12,2008,Geliebte Clara,"Biography, Drama, Music",5.8,okay
13,2005,Angels with Angles,Comedy,4.8,okay
14,2007,I Viceré,"Drama, History",6.3,good
15,2006,Live Freaky Die Freaky,"Animation, Comedy, Musical",5.0,okay
16,2008,The Bank Job,"Crime, Thriller",7.2,good
17,2006,Death of a Saleswoman,"Comedy, Mystery",1.5,bad
18,2005,Firecracker,"Crime, Drama, Mystery",5.4,okay
19,2009,Sanam Teri Kasam,"Action, Drama, Romance",5.1,okay
20,2006,Children of Men,"Drama, Thriller",7.9,good
21,2007,Awake,"Crime, Drama, Mystery",6.5,good
22,2008,Berlin Calling,"Comedy, Drama, Music",7.3,good
23,2007,Partition,"Drama, Romance",6.9,good
24,2005,Bob the Butler,"Comedy, Family",5.5,okay
25,2005,Bad Girls from Valley High,Comedy,3.5,okay
26,2005,Ripley Under Ground,"Crime, Drama, Thriller",6.1,good
27,2005,Lucky 13,"Comedy, Romance",4.6,okay
28,2005,Cl.One,"Sci-Fi, Thriller",3.3,okay
29,2007,Tortilla Heaven,Comedy,5.3,okay
30,2005,Fortunes,Comedy,4.3,okay
31,2005,Water,Drama,7.7,good
32,2007,Terra Sonâmbula,Drama,6.9,good
33,2005,Mee-Shee: The Water Giant,"Adventure, Family, Fantasy",5.3,okay
34,2007,Hitler Meets Christ,"Drama, Fantasy",4.1,okay
35,2006,Funny Money,Comedy,5.3,okay
36,2005,In Memory of My Father,"Comedy, Drama",6.0,good
37,2006,Pretty Cool,"Comedy, Sci-Fi",4.2,okay
38,2005,Cursed,"Comedy, Horror",5.0,okay
39,2007,Ghost Rider,"Action, Fantasy, Thriller",5.2,okay
40,2006,.45,"Crime, Drama, Thriller",5.6,okay
41,2005,Imposture,Thriller,6.4,good
42,2005,2001 Maniacs,"Comedy, Horror",5.3,okay
43,2006,Love Is the Drug,Drama,5.5,okay
44,2005,Thru the Moebius Strip,"Animation, Adventure, Sci-",5.1,okay
45,2005,The Ringer,"Comedy, Sport",5.8,okay
46,2006,How to Go Out on a Date in Queens,"Comedy, Romance",4.3,okay
47,2005,From Venus,"Horror, Sci-Fi",4.5,okay
48,2007,The Bros.,"Comedy, Music",3.3,okay
49,2005,Heaven's Neighbors,Drama,7.1,good
50,2006,Beyond the Wall of Sleep,Horror,2.8,bad
51,2007,Brooklyn Rules,"Crime, Drama",6.3,good
52,2006,Obsluhoval jsem anglického krále,"Comedy, Drama, Romance",7.4,good
53,2005,Havoc,"Crime, Drama",5.5,okay
54,2005,Alchemy,"Comedy, Romance",5.4,okay
55,2006,Under Surveillance,"Horror, Mystery, Thriller",4.2,okay
56,2007,Universal Groove,"Drama, Fantasy",6.2,good
57,2005,Iluminados por el fuego,"Adventure, Drama, War",6.8,good
58,2009,T.M.A.,"Horror, Mystery, Thriller",4.6,okay
59,2005,Man-Thing,"Action, Adventure, Horror",4.0,okay
60,2007,Before the Devil Knows You're Dead,"Crime, Drama, Thriller",7.3,good
61,2007,Rush Hour 3,"Action, Comedy, Crime",6.2,good
62,2005,The Keeper: The Legend of Omar Khayyam,"Adventure, Drama, Family",6.4,good
63,2005,Rent,"Drama, Musical, Romance",6.9,good
64,2005,The Sea Wolf,"Action, Adventure, Romance",3.6,okay
65,2005,Going Shopping,"Drama, Romance",4.7,okay
66,2006,Slipp Jimmy fri,"Animation, Comedy",6.0,good
67,2005,The Civilization of Maxwell Bright,Drama,6.5,good
68,2005,All Babes Want to Kill Me,"Comedy, Romance",4.0,okay
69,2005,Black Wine,Thriller,4.3,okay
70,2005,Dark Assassin,"Action, Thriller",3.3,okay
71,2006,Raising Flagg,Comedy,5.4,okay
72,2005,Love Thy Neighbor,"Comedy, Drama, Mystery",3.6,okay
73,2005,Funny Valentine,"Comedy, Romance",4.4,okay
74,2007,Along the Way,Drama,6.1,good
75,2006,Bobby,"Biography, Drama, History",7.0,good
76,2005,Les Boys IV,"Comedy, Sport",4.9,okay
77,2006,Happily N'Ever After,"Animation, Adventure, Come",4.5,okay
78,2005,Extreme Dating,"Action, Romance, Comedy",5.2,okay
79,2005,Tracks,"Drama, Crime",5.0,okay
80,2005,The Curse of the Were-Rabbit,"Animation, Adventure, Come",7.4,good
81,2010,Quantum Quest: A Cassini Space Odyssey,"Animation, Adventure, Sci-",4.9,okay
82,2006,Humko Tumse Pyaar Hai,"Drama, Romance",4.8,okay
83,2007,Romantik,"Drama, Romance",4.4,okay
84,2007,Die Unerzogenen,Drama,6.3,good
85,2005,Break a Leg,"Comedy, Drama, Thriller",5.1,okay
86,2005,Constellation,Drama,3.8,okay
87,2005,Because of Winn-Dixie,"Comedy, Drama, Family",6.3,good
88,2006,Cars,"Animation, Comedy, Family",7.1,good
89,2006,Mission: Impossible III,"Action, Adventure, Thrille",6.9,good
90,2005,A Sound of Thunder,"Action, Adventure, Horror",4.2,okay
91,2005,Sahara,"Action, Adventure, Comedy",6.0,good
92,2005,Thumbsucker,"Comedy, Drama",6.6,good
93,2005,El viento,"Drama, Romance",6.8,good
94,2008,Brothel,"Drama, Horror",4.1,okay
95,2005,Kingdom of Heaven,"Action, Adventure, Drama",7.2,good
96,2005,Blodsbröder,"Crime, Drama",2.8,bad
97,2006,30 Days,"Drama, Sport",3.8,okay
98,2005,Ze film,Comedy,5.4,okay
99,2006,Loving Annabelle,"Drama, Romance",6.3,good
100,2005,Los suicidas,Mystery,5.5,okay
101,2006,"Arrivederci amore, ciao","Crime, Drama, Thriller",6.9,good
102,2005,Sabah,"Comedy, Drama, Romance",6.8,good
103,2005,"Jesus, Mary and Joey","Comedy, Romance",4.8,okay
104,2005,Her Name Is Carla,"Drama, Thriller",5.0,okay
105,2005,The Great Raid,"Action, Drama, War",6.7,good
106,2010,In My Sleep,"Drama, Mystery, Thriller",5.5,okay
107,2006,Over the Hedge,"Animation, Adventure, Come",6.7,good
108,2005,The Bike Squad,"Comedy, Family",3.1,okay
109,2009,Coraline,"Animation, Drama, Fantasy",7.7,good
110,2005,Dirty Love,"Comedy, Romance",3.6,okay
111,2005,Lung do kei yuen,"Animation, Action, Adventu",4.9,okay
112,2005,My Suicidal Sweetheart,"Comedy, Drama",5.5,okay
113,2006,Neil's Party,"Comedy, Drama",4.8,okay
114,2005,Taj Mahal: An Eternal Love Story,"Drama, History, Musical",5.2,okay
115,2006,The Creature of the Sunny Side Up Trailer Park,"Comedy, Horror, Mystery",3.9,okay
116,2007,Marigold,"Comedy, Romance",4.8,okay
117,2005,xXx: State of the Union,"Action, Adventure, Crime",4.4,okay
118,2005,Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy",7.7,good
119,2007,Intergalactic Combat,"Action, Adventure, Sci-Fi",5.9,okay
120,2006,Satan's Playground,Horror,3.3,okay
121,2005,Man of the House,"Comedy, Crime",5.4,okay
122,2005,Fever Pitch,"Comedy, Drama, Romance",6.2,good
123,2005,Antikörper,"Crime, Drama, Horror",7.0,good
124,2005,Dot.Kill,"Crime, Drama, Thriller",4.7,okay
125,2005,Keep Your Distance,"Drama, Mystery, Romance",5.2,okay
126,2005,Zerkalnye voyny. Otrazhenie pervoe,"Action, Crime, Drama",2.9,bad
127,2005,The Trouble with Men and Women,"Drama, Romance",4.7,okay
128,2005,Sledge: The Untold Story,"Action, Comedy, Musical",3.5,okay
129,2007,Broke Sky,"Drama, Mystery, Thriller",6.3,good
130,2007,Live Free or Die Hard,"Action, Thriller",7.1,good
131,2007,Lucky You,"Drama, Romance, Sport",5.9,okay
132,2005,Nowhere Man,"Comedy, Crime, Drama",3.7,okay
133,2005,Shopgirl,"Drama, Romance",6.3,good
134,2005,Diamond Zero,"Sci-Fi, Action, Comedy",4.3,okay
135,2005,Beauty and the Beast,"Action, Adventure, Family",4.1,okay
136,2006,Goose on the Loose,"Adventure, Comedy, Family",4.3,okay
137,2005,The Magic Roundabout,"Animation, Adventure, Come",5.2,okay
138,2005,Daltry Calhoun,"Comedy, Drama, Music",5.1,okay
139,2005,Strike the Tent,"Action, Biography, Drama",5.3,okay
140,2006,The Drop,"Action, Adventure, Fantasy",2.3,bad
141,2005,Hostage,"Action, Crime, Drama",6.6,good
142,2005,Self Medicated,"Biography, Drama",5.7,okay
143,2005,Unleashed,"Action, Crime, Drama",7.0,good
144,2005,Dear Wendy,"Comedy, Crime, Drama",6.6,good
145,2005,Manderlay,Drama,7.3,good
146,2005,The PianoTuner of EarthQuakes,"Drama, Fantasy, Music",6.3,good
147,2005,Äideistä parhain,"Drama, War",7.6,good
148,2005,Fugitives Run,Comedy,3.1,okay
149,2006,The Good Shepherd,"Drama, History, Thriller",6.7,good
150,2005,The Lost City,"Drama, Romance",6.6,good
151,2006,Arthur et les Minimoys,"Animation, Adventure, Fami",6.0,good
152,2006,Open Window,Drama,6.1,good
