,year,title,genre,avg_vote,movie_rating,duration
7998,2008,Ladrones a Domicilio,"Adventure, Comedy, History",6.3,good,88
7999,2008,One Two Three,"Comedy, Crime",5.2,okay,135
8000,2009,Paying Guests,"Comedy, Drama",4.2,okay,109
8001,2009,Weekend cu mama,Drama,7.1,good,87
8002,2008,Surviving Crooked Lake,Thriller,5.1,okay,89
8003,2008,Naoko,"Drama, Romance, Sport",6.1,good,120
8004,2008,Svetat e golyam i spasenie debne otvsyakade,Drama,8.0,good,105
8005,2008,Beer for My Horses,"Action, Comedy, Crime",4.8,okay,86
8006,2007,Cyrano Fernández,"Action, Drama, Romance",6.0,good,100
8007,2008,Los paranoicos,Comedy,6.6,good,98
8008,2008,Superstar,"Drama, Romance",6.0,good,120
8009,2009,Whatever Works,"Comedy, Romance",7.1,good,93
8010,2007,20 sigaret,"Action, Comedy, Drama",5.5,okay,90
8011,2010,Les aventures extraordinaires d'Adèle Blanc-Sec,"Action, Adventure, Fantasy",6.3,good,107
8012,2007,Baklava,"Adventure, Drama, Music",4.8,okay,106
8013,2010,From Paris with Love,"Action, Crime, Thriller",6.5,good,92
8014,2010,A Nightmare on Elm Street,"Crime, Drama, Horror",5.2,okay,95
8015,2008,Oi dau dai,Comedy,4.4,okay,105
8016,2009,Oral Fixation,Thriller,4.0,okay,90
8017,2008,Samyy luchshiy film,Comedy,3.0,okay,110
8018,2010,6 Souls,"Horror, Mystery, Thriller",6.1,good,112
8019,2008,Truth Hall,Drama,4.8,okay,88
8020,2008,Himalayaeui sonyowa,Drama,6.4,good,95
8021,2008,Warten auf Angelina,Comedy,4.8,okay,89
8022,2009,Chéri,"Comedy, Drama, Romance",6.2,good,100
8023,2008,Inu to watashi no 10 no yakusoku,"Comedy, Drama, Romance",7.1,good,117
8024,2008,Tôkyô shônen,"Mystery, Romance",6.1,good,95
8025,2009,La vergüenza,Drama,6.7,good,90
8026,2007,Kappa no Kû to natsuyasumi,"Animation, Adventure, Come",7.4,good,138
8027,2008,Mission Istaanbul: Darr Ke Aagey Jeet Hai!,"Action, Adventure, Drama",3.4,okay,130
8028,2008,Mithya,"Comedy, Crime, Thriller",7.1,good,110
8029,2008,A Song of Good,"Crime, Drama, Mystery",5.6,okay,84
8030,2008,Tatil Kitabi,Drama,6.3,good,92
8031,2009,TiMER,"Comedy, Drama, Romance",6.5,good,99
8032,2008,48 heures par jour,Comedy,5.1,okay,89
8033,2009,Commis d'office,"Comedy, Thriller",5.3,okay,88
8034,2008,Go Fast,"Action, Crime, Drama",5.8,okay,110
8035,2009,My Bloody Valentine,"Horror, Mystery, Thriller",5.4,okay,101
8036,2007,Paranormal Activity,"Horror, Mystery, Thriller",6.3,good,86
8037,2010,Todas las canciones hablan de mí,Comedy,6.3,good,107
8038,2009,Budapest,"Drama, Romance",6.0,good,113
8039,2008,Doraemon: Nobita to midori no kyojinden,"Animation, Adventure, Come",6.3,good,112
8040,2008,Wo jiao Liu Yue Jin,Drama,6.3,good,85
8041,2008,Blackout,"Mystery, Thriller",5.1,okay,108
8042,2008,Plus tard,Drama,5.8,okay,90
8043,2008,Show of Hands,"Comedy, Drama, Romance",6.5,good,99
8044,2008,Vaaranam Aayiram,"Drama, Musical, Romance",8.0,good,169
8045,2010,Black Death,"Action, Drama, History",6.4,good,102
8046,2010,Bunraku,"Action, Drama, Fantasy",6.2,good,124
8047,2009,20-seiki shônen: Saishû-shô - Bokura no hata,"Adventure, Fantasy",6.6,good,156
8048,2009,20-seiki shônen: Dai 2 shô - Saigo no kibô,"Drama, Fantasy",6.5,good,139
8049,2009,Der Knochenmann,"Comedy, Crime, Thriller",7.5,good,117
8050,2008,Les bureaux de Dieu,"Comedy, Drama",6.0,good,122
8051,2010,Negro Buenos Aires,Thriller,4.6,okay,90
8052,2009,Moon,"Drama, Mystery, Sci-Fi",7.9,good,97
8053,2010,You Will Meet a Tall Dark Stranger,"Comedy, Drama, Romance",6.3,good,98
8054,2009,Direct Contact,"Action, Thriller",4.3,okay,90
8055,2008,Lao shi jia lao da,Comedy,4.9,okay,158
8056,2010,Dulha Mil Gaya,"Comedy, Drama, Romance",4.2,okay,152
8057,2008,Krazzy 4,"Comedy, Crime, Drama",4.2,okay,110
8058,2009,Ninja,"Action, Crime, Drama",5.5,okay,86
8059,2008,L'emmerdeur,Comedy,5.4,okay,86
8060,2008,Rab Ne Bana Di Jodi,"Comedy, Drama, Music",7.2,good,167
8061,2010,S.N.U.B!,"Horror, Thriller",2.9,bad,74
8062,2008,Bachna Ae Haseeno,"Comedy, Drama, Romance",6.2,good,152
8063,2009,Beyond a Reasonable Doubt,"Crime, Drama, Mystery",5.9,okay,106
8064,2008,Chocolate,"Action, Drama",6.9,good,110
8065,2009,La horde,"Action, Horror",5.9,okay,90
8066,2009,Pink,"Comedy, Drama, Romance",3.9,okay,82
8067,2010,Le village des ombres,"Horror, Mystery, Thriller",4.3,okay,103
8068,2010,Stag Night of the Dead,"Action, Comedy, Horror",3.1,okay,81
8069,2007,1814,"History, Thriller",6.1,good,95
8070,2009,Cracks,"Drama, Thriller",6.7,good,104
8071,2009,La fille du RER,Drama,6.0,good,97
8072,2008,My Effortless Brilliance,Drama,5.4,okay,79
8073,2009,Æblet & ormen,"Animation, Family",6.5,good,75
8074,2008,Angel,Drama,2.6,bad,108
8075,2008,Tôkyô zankoku keisatsu,"Action, Comedy, Horror",5.9,okay,110
8076,2008,New Town Killers,"Action, Crime, Drama",5.6,okay,100
8077,2010,Mr. Nice,"Biography, Comedy, Crime",6.4,good,121
8078,2010,Teen Patti,"Crime, Drama, Thriller",4.1,okay,142
8079,2009,The Vicious Kind,"Comedy, Drama",7.0,good,92
8080,2010,Welcome to the Rileys,Drama,7.0,good,110
8081,2008,Parque vía,Drama,6.8,good,86
8082,2009,The Stoneman Murders,"Crime, Drama, Mystery",7.4,good,95
8083,2008,The Collective,"Mystery, Thriller",4.1,okay,85
8084,2009,Finding Bliss,"Comedy, Romance",5.3,okay,96
8085,2008,Kino Lika,Drama,5.7,okay,120
8086,2008,Freakdog,"Fantasy, Horror, Sci-Fi",5.0,okay,82
8087,2009,Stan Helsing,"Comedy, Horror",3.6,okay,108
